ID,ARCHIVO,FAMILIA,TEMA,TÍTULO,COMPOSICIÓN,ELEMENTOS,VARIANTE_DE
cover-minimal-001,output\covers\planner\minimal\YOYIR-cover-minimal-001.png,MINIMAL,BLUSH,PLANIFICADOR,minimal-01,formas vectoriales originales,
cover-minimal-002,output\covers\planner\minimal\YOYIR-cover-minimal-002.png,MINIMAL,SAGE,PLANIFICADOR DIGITAL,minimal-02,formas vectoriales originales,
cover-minimal-003,output\covers\planner\minimal\YOYIR-cover-minimal-003.png,MINIMAL,SKY,MI PLANIFICADOR,minimal-03,formas vectoriales originales,
cover-minimal-004,output\covers\planner\minimal\YOYIR-cover-minimal-004.png,MINIMAL,SAND,2026 · 2027 · 2028,minimal-04,formas vectoriales originales,
cover-minimal-005,output\covers\planner\minimal\YOYIR-cover-minimal-005.png,MINIMAL,NEUTRAL,MIS PLANES,minimal-05,formas vectoriales originales,
cover-minimal-006,output\covers\planner\minimal\YOYIR-cover-minimal-006.png,MINIMAL,LAVANDA,MI AÑO,minimal-06,formas vectoriales originales,
cover-minimal-007,output\covers\planner\minimal\YOYIR-cover-minimal-007.png,MINIMAL,BLUSH,ORGANIZA · ENFÓCATE · AVANZA,minimal-07,formas vectoriales originales,
cover-minimal-008,output\covers\planner\minimal\YOYIR-cover-minimal-008.png,MINIMAL,SAGE,YOYI’R,minimal-08,formas vectoriales originales,
cover-minimal-009,output\covers\planner\minimal\YOYIR-cover-minimal-009.png,MINIMAL,SKY,PLANIFICADOR,minimal-01,formas vectoriales originales,
cover-minimal-010,output\covers\planner\minimal\YOYIR-cover-minimal-010.png,MINIMAL,SAND,PLANIFICADOR DIGITAL,minimal-02,formas vectoriales originales,
cover-minimal-011,output\covers\planner\minimal\YOYIR-cover-minimal-011.png,MINIMAL,NEUTRAL,MI PLANIFICADOR,minimal-03,formas vectoriales originales,
cover-minimal-012,output\covers\planner\minimal\YOYIR-cover-minimal-012.png,MINIMAL,LAVANDA,2026 · 2027 · 2028,minimal-04,formas vectoriales originales,
cover-minimal-013,output\covers\planner\minimal\YOYIR-cover-minimal-013.png,MINIMAL,BLUSH,MIS PLANES,minimal-05,formas vectoriales originales,
cover-minimal-014,output\covers\planner\minimal\YOYIR-cover-minimal-014.png,MINIMAL,SAGE,MI AÑO,minimal-06,formas vectoriales originales,
cover-minimal-015,output\covers\planner\minimal\YOYIR-cover-minimal-015.png,MINIMAL,SKY,ORGANIZA · ENFÓCATE · AVANZA,minimal-07,formas vectoriales originales,
