ID,ARCHIVO,CATEGORÍA,SUBCATEGORÍA,TEMA,TEXTO,DIMENSIONES,TRANSPARENCIA,ORIGINAL_BASE,VARIANTE
01-funcionales-001-lavender-01,output\stickers\01-funcionales\01-checkbox-vacio-lavender-01.png,FUNCIONALES,texto,lavender,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-01,lavender
01-funcionales-001-blush-01,output\stickers\01-funcionales\01-checkbox-vacio-blush-01.png,FUNCIONALES,texto,blush,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-01,blush
01-funcionales-001-sage-01,output\stickers\01-funcionales\01-checkbox-vacio-sage-01.png,FUNCIONALES,texto,sage,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-01,sage
01-funcionales-001-sky-01,output\stickers\01-funcionales\01-checkbox-vacio-sky-01.png,FUNCIONALES,texto,sky,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-01,sky
01-funcionales-001-sand-01,output\stickers\01-funcionales\01-checkbox-vacio-sand-01.png,FUNCIONALES,texto,sand,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-01,sand
01-funcionales-001-neutral-01,output\stickers\01-funcionales\01-checkbox-vacio-neutral-01.png,FUNCIONALES,texto,neutral,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-01,neutral
01-funcionales-001-multicolor-01,output\stickers\01-funcionales\01-checkbox-vacio-multicolor-01.png,FUNCIONALES,texto,multicolor,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-01,multicolor
01-funcionales-001-lavender-02,output\stickers\01-funcionales\01-checkbox-vacio-lavender-02.png,FUNCIONALES,texto,lavender,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-02,lavender
01-funcionales-001-blush-02,output\stickers\01-funcionales\01-checkbox-vacio-blush-02.png,FUNCIONALES,texto,blush,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-02,blush
01-funcionales-001-sage-02,output\stickers\01-funcionales\01-checkbox-vacio-sage-02.png,FUNCIONALES,texto,sage,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-02,sage
01-funcionales-001-sky-02,output\stickers\01-funcionales\01-checkbox-vacio-sky-02.png,FUNCIONALES,texto,sky,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-02,sky
01-funcionales-001-sand-02,output\stickers\01-funcionales\01-checkbox-vacio-sand-02.png,FUNCIONALES,texto,sand,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-02,sand
01-funcionales-001-neutral-02,output\stickers\01-funcionales\01-checkbox-vacio-neutral-02.png,FUNCIONALES,texto,neutral,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-02,neutral
01-funcionales-001-multicolor-02,output\stickers\01-funcionales\01-checkbox-vacio-multicolor-02.png,FUNCIONALES,texto,multicolor,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-02,multicolor
01-funcionales-001-lavender-03,output\stickers\01-funcionales\01-checkbox-vacio-lavender-03.png,FUNCIONALES,texto,lavender,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-03,lavender
01-funcionales-001-blush-03,output\stickers\01-funcionales\01-checkbox-vacio-blush-03.png,FUNCIONALES,texto,blush,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-03,blush
01-funcionales-001-sage-03,output\stickers\01-funcionales\01-checkbox-vacio-sage-03.png,FUNCIONALES,texto,sage,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-03,sage
01-funcionales-001-sky-03,output\stickers\01-funcionales\01-checkbox-vacio-sky-03.png,FUNCIONALES,texto,sky,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-03,sky
01-funcionales-001-sand-03,output\stickers\01-funcionales\01-checkbox-vacio-sand-03.png,FUNCIONALES,texto,sand,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-03,sand
01-funcionales-001-neutral-03,output\stickers\01-funcionales\01-checkbox-vacio-neutral-03.png,FUNCIONALES,texto,neutral,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-03,neutral
01-funcionales-001-multicolor-03,output\stickers\01-funcionales\01-checkbox-vacio-multicolor-03.png,FUNCIONALES,texto,multicolor,checkbox vacío,900x450,RGBA,01-funcionales-001-estilo-03,multicolor
01-funcionales-002-lavender-01,output\stickers\01-funcionales\01-checkbox-marcado-lavender-01.png,FUNCIONALES,texto,lavender,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-01,lavender
01-funcionales-002-blush-01,output\stickers\01-funcionales\01-checkbox-marcado-blush-01.png,FUNCIONALES,texto,blush,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-01,blush
01-funcionales-002-sage-01,output\stickers\01-funcionales\01-checkbox-marcado-sage-01.png,FUNCIONALES,texto,sage,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-01,sage
01-funcionales-002-sky-01,output\stickers\01-funcionales\01-checkbox-marcado-sky-01.png,FUNCIONALES,texto,sky,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-01,sky
01-funcionales-002-sand-01,output\stickers\01-funcionales\01-checkbox-marcado-sand-01.png,FUNCIONALES,texto,sand,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-01,sand
01-funcionales-002-neutral-01,output\stickers\01-funcionales\01-checkbox-marcado-neutral-01.png,FUNCIONALES,texto,neutral,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-01,neutral
01-funcionales-002-multicolor-01,output\stickers\01-funcionales\01-checkbox-marcado-multicolor-01.png,FUNCIONALES,texto,multicolor,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-01,multicolor
01-funcionales-002-lavender-02,output\stickers\01-funcionales\01-checkbox-marcado-lavender-02.png,FUNCIONALES,texto,lavender,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-02,lavender
01-funcionales-002-blush-02,output\stickers\01-funcionales\01-checkbox-marcado-blush-02.png,FUNCIONALES,texto,blush,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-02,blush
01-funcionales-002-sage-02,output\stickers\01-funcionales\01-checkbox-marcado-sage-02.png,FUNCIONALES,texto,sage,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-02,sage
01-funcionales-002-sky-02,output\stickers\01-funcionales\01-checkbox-marcado-sky-02.png,FUNCIONALES,texto,sky,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-02,sky
01-funcionales-002-sand-02,output\stickers\01-funcionales\01-checkbox-marcado-sand-02.png,FUNCIONALES,texto,sand,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-02,sand
01-funcionales-002-neutral-02,output\stickers\01-funcionales\01-checkbox-marcado-neutral-02.png,FUNCIONALES,texto,neutral,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-02,neutral
01-funcionales-002-multicolor-02,output\stickers\01-funcionales\01-checkbox-marcado-multicolor-02.png,FUNCIONALES,texto,multicolor,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-02,multicolor
01-funcionales-002-lavender-03,output\stickers\01-funcionales\01-checkbox-marcado-lavender-03.png,FUNCIONALES,texto,lavender,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-03,lavender
01-funcionales-002-blush-03,output\stickers\01-funcionales\01-checkbox-marcado-blush-03.png,FUNCIONALES,texto,blush,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-03,blush
01-funcionales-002-sage-03,output\stickers\01-funcionales\01-checkbox-marcado-sage-03.png,FUNCIONALES,texto,sage,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-03,sage
01-funcionales-002-sky-03,output\stickers\01-funcionales\01-checkbox-marcado-sky-03.png,FUNCIONALES,texto,sky,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-03,sky
01-funcionales-002-sand-03,output\stickers\01-funcionales\01-checkbox-marcado-sand-03.png,FUNCIONALES,texto,sand,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-03,sand
01-funcionales-002-neutral-03,output\stickers\01-funcionales\01-checkbox-marcado-neutral-03.png,FUNCIONALES,texto,neutral,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-03,neutral
01-funcionales-002-multicolor-03,output\stickers\01-funcionales\01-checkbox-marcado-multicolor-03.png,FUNCIONALES,texto,multicolor,checkbox marcado,900x450,RGBA,01-funcionales-002-estilo-03,multicolor
01-funcionales-003-lavender-01,output\stickers\01-funcionales\01-circulo-vacio-lavender-01.png,FUNCIONALES,texto,lavender,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-01,lavender
01-funcionales-003-blush-01,output\stickers\01-funcionales\01-circulo-vacio-blush-01.png,FUNCIONALES,texto,blush,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-01,blush
